"Manage Blocks", "Manage Blocks"
"Add New Block Profile", "Add New Block Profile"
"Save Profile", "Save Profile"
"Save and Continue Edit", "Save and Continue Edit"
"Duplicate", "Duplicate"
"Delete Profile", "Delete Profile"
"Edit Profile '%1'", "Edit Profile '%1'"
"New Profile", "New Profile"
"Design Block", "Design Block"
"Prefix Class", "Prefix Class"
"Enable Container", "Enable Container"
"-- Load A Layout --", "-- Load A Layout --"
"Use Backup Layout", "Use Backup Layout"
"Block Editor", "Block Editor"
"Block Information", "Block Information"
"Block Title", "Block Title"
"URL Key", "URL Key"
"Shortcode", "Shortcode"
"Display Block From Date", "Display Block From Date"
"Enable Block for certain customer groups", "Enable Block for certain customer groups"
"Wrapper For Page Builder", "Wrapper For Page Builder"
"Enable Wrapper Block", "Enable Wrapper Block"
"Select Wrapper Class", "Select Wrapper Class"
"Choose a container size", "Choose a container size"
"For example: <strong>container</strong>", "For example: <strong>container</strong>"
"Custom Wrapper Class", "Custom Wrapper Class"
"Custom Template", "Custom Template"
"Custom Style / JS", "Custom Style / JS"
"Settings", "Settings"
"Custom CSS", "Custom CSS"
"Enter custom CSS code here. Your custom CSS will be outputted only on this particular page.", "Enter custom CSS code here. Your custom CSS will be outputted only on this particular page."
"Enter custom JS code here. Your custom JS will be outputted only on this particular page.", "Enter custom JS code here. Your custom JS will be outputted only on this particular page."
"The block builder has been deleted.", "The block builder has been deleted."
"We can\'t find a block builder profile to delete.", "We can\'t find a block builder profile to delete."
"Pages Builder", "Pages Builder"
"Manage Block Profiles", "Manage Block Profiles"
"This block builder profile no longer exits.", "This block builder profile no longer exits."
"Edit Block Profile", "Edit Block Profile"
"New Block Profile", "New Block Profile"
"Manage Block Builder Profiles", "Manage Block Builder Profiles"
"Please correct the data sent.", "Please correct the data sent."
"Something went wrong while saving the page.", "Something went wrong while saving the page."
"A total of %1 record(s) have been deleted.", "A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.", "A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.", "A total of %1 record(s) have been enabled."
"Profile was successfully duplicated.", "Profile was successfully duplicated."
"You saved this block builder profile.", "You saved this block builder profile."
"A total of %1 record(s) have been enabled.", "A total of %1 record(s) have been enabled."
"Something went wrong while saving the block builder profile.", "Something went wrong while saving the block builder profile."
"We can\'t find a page builder profile to delete.", "We can\'t find a page builder profile to delete."
"Body Content", "Body Content"
"-- Select A Custom Css File --", "-- Select A Custom Css File --"
"Don't Use", "Don't Use"
"-- Select A Profile --", "-- Select A Profile --"
